researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30,researcher31,researcher32,researcher33,researcher34,researcher35,researcher36,researcher37,researcher38,researcher39,researcher40,researcher41,researcher42,researcher43,researcher44,researcher45,researcher46,researcher47,researcher48,researcher49,researcher50,researcher51,researcher52,researcher53,researcher54,researcher55,researcher56,researcher57,researcher58,researcher59,researcher60,researcher61,researcher62,researcher63,researcher64,researcher65,researcher66,researcher67,researcher68,researcher69,researcher70,researcher71,researcher72,researcher73,researcher74,researcher75,researcher76,researcher77,researcher78,researcher79,researcher80,researcher81,researcher82,researcher83,researcher84,researcher85,researcher86,researcher87,researcher88,researcher89,researcher90,researcher91,researcher92,researcher93,researcher94,researcher95,researcher96,researcher97,researcher98,researcher99,researcher100
190 citations*,26 citations*,92 citations*,88 citations*,0 citations*,70 citations*,7 citations*,114 citations*,8 citations*,111 citations*,31 citations*,55 citations*,4 citations*,121 citations*,10 citations*,110 citations*,0 citations*,155 citations* for all,20 citations*,104 citations*,172 citations*,61 citations*,9 citations*,81 citations*,13 citations*,269 citations*,63 citations*,14 citations*,163 citations*,124 citations*,54 citations*,58 citations*,73 citations*,108 citations*,742 citations*,30 citations*,8 citations*,13 citations* for all,181 citations*,64 citations*,1 citations*,32 citations*,13 citations*,104 citations*,5 citations*,24 citations*,73 citations*,121 citations*,194 citations*,184 citations*,12 citations*,62 citations*,71 citations*,21 citations*,58 citations*,58 citations*,229 citations*,481 citations*,31 citations*,542 citations*,13 citations*,11 citations*,139 citations*,0 citations*,57 citations*,15 citations*,7 citations*,133 citations*,19 citations*,4 citations*,4 citations*,19 citations*,10 citations*,,2 citations*,1 citations*,244 citations*,2 citations*,8 citations*,115 citations*,26 citations*,52 citations* for all,4 citations*,55 citations*,10 citations*,7 citations*,27 citations*,3 citations*,3 citations*,4 citations*,1 citations*,8 citations*,14 citations*,7 citations*,61 citations*,17 citations*,1 citations*,17 citations*,64 citations*,61 citations*
350 citations*,75 citations*,59 citations*,5 citations*,9 citations*,56 citations*,13 citations*,30 citations*,52 citations*,53 citations*,20 citations*,97 citations*,24 citations*,0 citations*,25 citations*,128 citations*,21 citations*,150 citations*,23 citations*,9 citations*,161 citations*,106 citations*,374 citations*,23 citations*,158 citations*,315 citations*,29 citations*,12 citations* for all,146 citations*,370 citations*,13 citations*,30 citations*,60 citations*,459 citations*,705 citations*,74 citations*,62 citations*,0 citations*,343 citations*,62 citations*,11 citations*,17 citations*,9 citations*,1 citations*,3 citations*,22 citations*,21 citations*,30 citations*,2 citations*,169 citations*,3 citations*,56 citations*,61 citations*,20 citations*,13 citations*,17 citations* for all,8 citations*,7 citations*,12 citations*,2 citations*,9 citations*,10 citations*,86 citations*,0 citations*,90 citations*,5 citations*,7 citations*,65 citations*,16 citations*,4 citations*,3 citations*,2 citations*,6 citations* for all,,13 citations*,0 citations*,200 citations*,12 citations*,10 citations*,26 citations*,56 citations*,51 citations*,8 citations*,274 citations*,8 citations*,6 citations*,11 citations*,3 citations*,6 citations*,4 citations*,0 citations*,3 citations*,16 citations*,7 citations*,60 citations*,14 citations*,1 citations*,10 citations*,1 citations*,23 citations*
224 citations*,172 citations*,84 citations*,36 citations* for all,11 citations*,91 citations*,23 citations*,69 citations*,19 citations*,171 citations*,65 citations*,68 citations*,15 citations*,204 citations*,16 citations*,179 citations*,11 citations* for all,5 citations*,18 citations*,243 citations*,164 citations* for all,24 citations*,23 citations*,27 citations*,208 citations* for all,696 citations*,204 citations*,12 citations*,102 citations*,104 citations*,9 citations*,7 citations*,62 citations*,105 citations*,511 citations*,121 citations*,0 citations*,13 citations*,7 citations*,13 citations*,0 citations*,20 citations*,15 citations*,5 citations*,51 citations*,9 citations*,68 citations*,22 citations*,1 citations*,9 citations*,3 citations*,4 citations*,94 citations*,12 citations*,10 citations*,17 citations*,139 citations*,177 citations*,20 citations*,922 citations*,14 citations*,5 citations*,321 citations*,0 citations*,29 citations*,11 citations*,4 citations*,275 citations*,67 citations*,3 citations*,3 citations*,22 citations*,6 citations*,,9 citations*,0 citations*,78 citations* for all,13 citations*,8 citations*,100 citations*,291 citations*,1 citations*,20 citations*,24 citations*,7 citations*,6 citations*,60 citations*,3 citations*,2 citations*,4 citations*,15 citations*,2 citations*,12 citations*,5 citations*,99 citations*,26 citations*,1 citations*,26 citations*,9 citations*,2 citations*
335 citations*,69 citations*,14 citations*,36 citations*,100 citations*,30 citations*,25 citations*,94 citations*,24 citations*,98 citations*,15 citations*,21 citations*,17 citations*,18 citations* for all,5 citations*,67 citations*,11 citations*,17 citations*,19 citations*,89 citations*,164 citations*,143 citations*,29 citations*,101 citations*,208 citations*,190 citations*,110 citations*,0 citations*,22 citations*,79 citations*,16 citations*,84 citations*,79 citations*,181 citations*,380 citations*,106 citations*,16 citations*,0 citations*,87 citations*,1 citations*,0 citations*,13 citations*,14 citations*,1 citations*,6 citations*,88 citations*,13 citations*,29 citations*,7 citations*,10 citations*,2 citations*,11 citations*,111 citations*,2 citations*,14 citations*,0 citations*,0 citations*,"1,155 citations*",18 citations*,"1,276 citations*",5 citations*,13 citations*,113 citations*,0 citations*,185 citations*,6 citations*,4 citations*,28 citations*,22 citations*,2 citations*,2 citations*,12 citations*,0 citations*,,3 citations*,0 citations*,76 citations*,1 citations*,3 citations*,60 citations*,22 citations*,12 citations*,15 citations*,12 citations* for all,7 citations*,5 citations*,8 citations*,2 citations*,2 citations*,3 citations*,0 citations*,1 citations*,4 citations*,5 citations*,100 citations*,22 citations*,1 citations*,2 citations*,10 citations*,19 citations*
214 citations*,75 citations*,88 citations*,0 citations*,11 citations*,53 citations*,145 citations*,76 citations*,75 citations*,89 citations*,17 citations*,26 citations*,55 citations*,16 citations*,22 citations*,122 citations*,0 citations*,98 citations*,3 citations*,31 citations*,0 citations*,16 citations*,11 citations*,151 citations*,0 citations*,439 citations*,69 citations*,14 citations*,26 citations*,29 citations*,5 citations*,60 citations*,121 citations*,135 citations*,684 citations*,136 citations*,9 citations*,9 citations*,76 citations*,6 citations*,0 citations*,31 citations*,4 citations*,2 citations*,64 citations*,76 citations*,23 citations*,55 citations*,7 citations*,0 citations*,2 citations*,55 citations*,20 citations*,14 citations*,16 citations*,3 citations*,0 citations*,262 citations* for all,87 citations*,"2,031 citations*",7 citations*,4 citations*,117 citations*,,158 citations*,9 citations*,4 citations*,156 citations*,10 citations*,2 citations*,1 citations*,12 citations*,5 citations*,,6 citations*,0 citations*,2 citations*,10 citations*,11 citations*,0 citations*,0 citations*,62 citations* for all,21 citations*,12 citations*,7 citations*,5 citations*,5 citations*,2 citations*,9 citations*,2 citations*,4 citations*,1 citations*,19 citations*,4 citations*,85 citations*,7 citations*,0 citations*,22 citations*,5 citations*,5 citations*
197 citations*,22 citations*,1 citations*,31 citations*,141 citations*,122 citations*,7 citations*,68 citations*,141 citations*,59 citations*,125 citations*,60 citations*,70 citations*,2 citations*,28 citations*,153 citations*,11 citations* for all,102 citations*,73 citations*,23 citations*,100 citations*,55 citations*,0 citations*,233 citations*,205 citations*,338 citations*,93 citations*,7 citations*,78 citations*,360 citations*,3 citations*,182 citations*,23 citations*,87 citations*,239 citations*,37 citations*,1 citations*,0 citations*,77 citations*,3 citations*,0 citations*,26 citations*,8 citations*,99 citations*,4 citations* for all,9 citations*,57 citations*,27 citations*,0 citations*,151 citations*,58 citations*,0 citations*,16 citations*,10 citations*,16 citations*,17 citations*,135 citations*,261 citations*,66 citations*,"1,042 citations* for all",11 citations*,7 citations*,213 citations*,,132 citations*,8 citations*,3 citations*,93 citations*,18 citations*,1 citations*,1 citations*,8 citations*,14 citations*,,6 citations*,,9 citations* for all,7 citations*,10 citations*,21 citations*,58 citations*,62 citations*,6 citations*,0 citations*,4 citations*,4 citations*,51 citations*,2 citations*,2 citations*,2 citations*,1 citations*,1 citations*,18 citations*,4 citations*,18 citations*,10 citations*,0 citations*,0 citations*,3 citations*,50 citations*
359 citations*,65 citations*,24 citations*,141 citations*,21 citations*,69 citations*,29 citations*,266 citations*,78 citations*,132 citations*,36 citations*,62 citations*,16 citations*,148 citations* for all,15 citations*,144 citations*,11 citations*,169 citations*,17 citations*,15 citations*,88 citations*,54 citations*,20 citations*,20 citations*,123 citations*,605 citations*,12 citations*,20 citations*,77 citations*,150 citations*,5 citations*,15 citations*,71 citations*,180 citations*,75 citations*,59 citations*,0 citations*,7 citations*,307 citations*,4 citations*,0 citations*,23 citations*,6 citations*,8 citations*,3 citations*,11 citations*,14 citations*,15 citations*,6 citations*,108 citations*,90 citations*,11 citations*,57 citations*,15 citations*,2 citations*,17 citations*,0 citations*,1 citations*,61 citations*,"1,042 citations*",2 citations*,7 citations*,149 citations*,,153 citations*,9 citations*,2 citations*,96 citations*,61 citations*,1 citations*,1 citations*,2 citations*,14 citations*,,2 citations*,,9 citations*,2 citations*,4 citations*,6 citations*,17 citations*,0 citations*,0 citations*,66 citations*,4 citations*,4 citations*,16 citations*,1 citations*,1 citations*,1 citations*,0 citations*,0 citations*,10 citations*,3 citations*,86 citations*,16 citations*,0 citations*,7 citations*,3 citations*,11 citations* for all
50 citations*,79 citations*,51 citations*,164 citations*,71 citations*,177 citations*,1 citations*,811 citations*,64 citations*,111 citations*,54 citations*,88 citations*,6 citations*,148 citations*,10 citations*,256 citations*,0 citations*,127 citations*,15 citations*,73 citations*,86 citations*,58 citations*,32 citations*,146 citations*,269 citations*,278 citations*,22 citations*,13 citations*,23 citations*,78 citations*,14 citations*,5 citations*,83 citations*,83 citations*,204 citations*,27 citations*,17 citations*,15 citations*,28 citations*,5 citations*,0 citations*,11 citations*,24 citations*,14 citations*,1 citations*,9 citations*,89 citations*,29 citations*,89 citations*,0 citations*,4 citations*,29 citations*,53 citations*,2 citations*,5 citations*,22 citations*,10 citations*,"1,102 citations*",125 citations*,0 citations*,14 citations*,11 citations*,78 citations*,,65 citations*,4 citations*,2 citations*,28 citations*,20 citations*,0 citations*,1 citations*,6 citations*,7 citations*,,3 citations*,,0 citations*,16 citations*,17 citations*,23 citations*,12 citations*,63 citations*,10 citations*,15 citations*,3 citations*,3 citations*,77 citations*,1 citations*,0 citations*,1 citations*,0 citations*,,11 citations*,2 citations*,30 citations*,12 citations*,0 citations*,95 citations*,11 citations*,10 citations*
143 citations*,28 citations*,5 citations*,871 citations*,20 citations* for all,59 citations*,85 citations*,258 citations*,26 citations*,63 citations*,57 citations*,131 citations*,16 citations* for all,0 citations*,13 citations*,15 citations*,85 citations*,160 citations*,10 citations*,21 citations*,68 citations*,17 citations*,110 citations*,142 citations*,151 citations*,188 citations*,117 citations*,2 citations*,6 citations*,328 citations*,10 citations*,17 citations*,59 citations*,86 citations*,334 citations*,54 citations*,1 citations*,5 citations*,32 citations*,14 citations*,0 citations*,8 citations*,4 citations*,3 citations*,3 citations*,15 citations*,187 citations*,12 citations*,5 citations*,1 citations*,6 citations*,6 citations*,57 citations*,13 citations*,6 citations*,7 citations*,18 citations*,287 citations*,80 citations*,621 citations*,10 citations*,11 citations*,158 citations*,,120 citations*,12 citations*,2 citations*,141 citations*,76 citations*,0 citations*,1 citations*,4 citations*,9 citations*,,5 citations*,,57 citations*,1 citations*,7 citations*,14 citations*,4 citations*,33 citations*,0 citations*,28 citations*,3 citations*,2 citations*,108 citations*,1 citations*,4 citations*,0 citations*,2 citations*,,4 citations*,2 citations*,21 citations*,9 citations*,0 citations*,2 citations*,6 citations*,1 citations*
372 citations*,21 citations*,17 citations*,61 citations*,15 citations*,87 citations*,17 citations*,23 citations*,16 citations*,22 citations*,28 citations*,24 citations*,16 citations*,68 citations*,4 citations*,361 citations*,72 citations*,27 citations*,10 citations*,21 citations*,70 citations*,25 citations*,10 citations* for all,10 citations*,27 citations*,140 citations*,18 citations*,13 citations*,89 citations*,8 citations*,4 citations*,14 citations*,57 citations*,113 citations*,336 citations*,13 citations*,13 citations*,18 citations*,201 citations*,3 citations*,0 citations*,12 citations*,9 citations*,9 citations*,4 citations*,16 citations*,52 citations*,10 citations*,60 citations*,4 citations*,174 citations*,10 citations*,69 citations*,11 citations*,10 citations*,15 citations*,13 citations*,399 citations* for all,30 citations*,953 citations*,4 citations*,23 citations*,18 citations*,,170 citations*,6 citations*,2 citations*,5 citations* for all,20 citations*,0 citations*,1 citations*,12 citations*,4 citations*,,18 citations*,,83 citations*,3 citations*,6 citations*,63 citations*,27 citations* for all,13 citations*,5 citations*,9 citations*,2 citations*,1 citations*,11 citations*,1 citations*,0 citations*,0 citations*,8 citations*,,7 citations*,2 citations*,19 citations*,5 citations*,0 citations*,6 citations*,3 citations*,10 citations*
